<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.11.02	01:00:00	1274.64	1276.02	1274.49	1275.69	2128	2128	6
2017.11.02	02:00:00	1275.68	1276.01	1275.05	1275.43	3474	3474	6
2017.11.02	03:00:00	1275.41	1278.17	1275.21	1277.47	13098	13098	6
2017.11.02	04:00:00	1277.47	1281.42	1277.20	1280.39	14400	14400	6
2017.11.02	05:00:00	1280.39	1280.80	1279.35	1279.59	8457	8457	6
2017.11.02	06:00:00	1279.59	1280.27	1278.90	1280.14	6483	6483	6
2017.11.02	07:00:00	1280.14	1280.56	1279.13	1280.03	4421	4421	6
2017.11.02	08:00:00	1280.03	1280.24	1278.27	1278.52	6792	6792	6
2017.11.02	09:00:00	1278.52	1278.97	1277.43	1278.86	7650	7650	4
2017.11.02	10:00:00	1278.87	1279.50	1276.19	1277.20	11165	11165	4
2017.11.02	11:00:00	1277.20	1277.30	1275.42	1276.05	11274	11274	4
2017.11.02	12:00:00	1276.05	1276.83	1275.68	1276.29	8751	8751	4
2017.11.02	13:00:00	1276.28	1276.50	1275.48	1275.98	7660	7660	4
2017.11.02	14:00:00	1275.95	1276.75	1273.40	1274.67	9304	9304	4
2017.11.02	15:00:00	1274.76	1277.04	1273.54	1276.47	21241	21241	4
2017.11.02	16:00:00	1276.46	1278.23	1275.74	1277.24	21247	21247	4
2017.11.02	17:00:00	1277.25	1284.18	1277.12	1279.58	29459	29459	4
2017.11.02	18:00:00	1279.57	1279.77	1278.03	1278.76	21945	21945	4
2017.11.02	19:00:00	1278.76	1279.09	1274.97	1276.46	17845	17845	4
2017.11.02	20:00:00	1276.47	1277.76	1276.04	1277.10	10364	10364	4
2017.11.02	21:00:00	1277.12	1277.85	1276.22	1277.56	8259	8259	4
2017.11.02	22:00:00	1277.56	1278.03	1275.71	1276.24	10766	10766	4
2017.11.02	23:00:00	1276.23	1276.67	1275.57	1275.90	3465	3465	6
2017.11.03	01:00:00	1275.96	1277.58	1275.96	1277.50	1917	1917	7
2017.11.03	02:00:00	1277.49	1277.79	1276.90	1277.70	2313	2313	6
2017.11.03	03:00:00	1277.70	1278.61	1277.36	1278.06	4115	4115	6
2017.11.03	04:00:00	1278.07	1278.76	1277.17	1277.37	4954	4954	6
2017.11.03	05:00:00	1277.37	1277.63	1276.25	1276.64	5253	5253	6
2017.11.03	06:00:00	1276.63	1277.26	1276.54	1276.73	2880	2880	6
2017.11.03	07:00:00	1276.72	1277.35	1276.63	1277.23	1680	1680	6
2017.11.03	08:00:00	1277.23	1277.77	1276.54	1277.04	3247	3247	6
2017.11.03	09:00:00	1277.05	1277.37	1275.49	1275.54	5112	5112	4
2017.11.03	10:00:00	1275.55	1275.66	1274.56	1274.97	8282	8282	4
2017.11.03	11:00:00	1274.98	1276.08	1274.96	1275.81	7323	7323	4
2017.11.03	12:00:00	1275.81	1275.81	1274.79	1275.30	5424	5424	4
2017.11.03	13:00:00	1275.30	1275.86	1274.41	1275.37	5770	5770	4
2017.11.03	14:00:00	1275.36	1275.65	1273.53	1274.42	6993	6993	4
2017.11.03	15:00:00	1274.43	1280.65	1273.84	1276.66	27604	27604	4
2017.11.03	16:00:00	1276.66	1278.61	1275.84	1277.12	22339	22339	4
2017.11.03	17:00:00	1277.12	1277.12	1265.75	1266.49	29922	29922	4
2017.11.03	18:00:00	1266.53	1269.00	1265.49	1268.67	15804	15804	4
2017.11.03	19:00:00	1268.68	1268.76	1267.34	1268.51	10733	10733	4
2017.11.03	20:00:00	1268.52	1269.30	1267.75	1268.31	9408	9408	4
2017.11.03	21:00:00	1268.31	1269.06	1267.94	1268.90	7403	7403	4
2017.11.03	22:00:00	1268.91	1270.32	1268.90	1270.11	6226	6226	4
2017.11.03	23:00:00	1270.11	1270.66	1269.46	1269.81	4187	4187	6
