<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.11.02	01:00:00	1274.64	1275.17	1274.49	1275.07	430	430	6
2017.11.02	01:15:00	1275.07	1275.10	1274.77	1275.05	321	321	9
2017.11.02	01:30:00	1275.10	1276.02	1274.85	1275.97	669	669	8
2017.11.02	01:45:00	1275.98	1276.00	1275.55	1275.69	708	708	6
2017.11.02	02:00:00	1275.68	1275.84	1275.35	1275.60	737	737	7
2017.11.02	02:15:00	1275.61	1276.01	1275.36	1275.74	580	580	6
2017.11.02	02:30:00	1275.78	1275.82	1275.29	1275.38	1032	1032	6
2017.11.02	02:45:00	1275.39	1275.45	1275.05	1275.43	1125	1125	6
2017.11.02	03:00:00	1275.41	1277.09	1275.21	1276.52	3565	3565	6
2017.11.02	03:15:00	1276.52	1277.91	1276.52	1277.23	3336	3336	6
2017.11.02	03:30:00	1277.23	1278.16	1277.16	1277.87	3502	3502	6
2017.11.02	03:45:00	1277.88	1278.17	1277.11	1277.47	2695	2695	6
2017.11.02	04:00:00	1277.47	1278.51	1277.20	1278.47	2542	2542	6
2017.11.02	04:15:00	1278.48	1279.50	1278.44	1279.22	3440	3440	6
2017.11.02	04:30:00	1279.22	1281.30	1278.91	1281.09	4423	4423	6
2017.11.02	04:45:00	1281.09	1281.42	1280.19	1280.39	3995	3995	6
2017.11.02	05:00:00	1280.39	1280.54	1279.81	1280.14	2504	2504	6
2017.11.02	05:15:00	1280.12	1280.79	1280.04	1280.76	1878	1878	6
2017.11.02	05:30:00	1280.75	1280.80	1279.76	1280.03	2088	2088	6
2017.11.02	05:45:00	1280.02	1280.33	1279.35	1279.59	1987	1987	6
2017.11.02	06:00:00	1279.59	1280.14	1279.20	1279.30	2235	2235	6
2017.11.02	06:15:00	1279.31	1279.64	1278.90	1279.51	1529	1529	6
2017.11.02	06:30:00	1279.50	1279.94	1279.44	1279.66	1381	1381	6
2017.11.02	06:45:00	1279.65	1280.27	1279.63	1280.14	1338	1338	6
2017.11.02	07:00:00	1280.14	1280.56	1279.13	1279.26	1650	1650	6
2017.11.02	07:15:00	1279.27	1279.83	1279.23	1279.83	704	704	6
2017.11.02	07:30:00	1279.83	1280.01	1279.61	1279.62	660	660	6
2017.11.02	07:45:00	1279.63	1280.47	1279.61	1280.03	1407	1407	6
2017.11.02	08:00:00	1280.03	1280.24	1279.03	1279.13	1279	1279	6
2017.11.02	08:15:00	1279.16	1279.34	1278.53	1278.56	1687	1687	6
2017.11.02	08:30:00	1278.55	1278.68	1278.27	1278.48	1899	1899	6
2017.11.02	08:45:00	1278.48	1279.05	1278.42	1278.52	1927	1927	6
2017.11.02	09:00:00	1278.52	1278.56	1277.43	1278.24	3206	3206	6
2017.11.02	09:15:00	1278.23	1278.28	1277.86	1278.12	1316	1316	6
2017.11.02	09:30:00	1278.13	1278.68	1277.95	1278.16	1412	1412	6
2017.11.02	09:45:00	1278.16	1278.97	1278.01	1278.86	1716	1716	4
2017.11.02	10:00:00	1278.87	1279.50	1278.34	1278.38	2491	2491	4
2017.11.02	10:15:00	1278.38	1278.68	1277.55	1277.85	2825	2825	4
2017.11.02	10:30:00	1277.80	1277.85	1276.36	1276.42	3704	3704	4
2017.11.02	10:45:00	1276.41	1277.32	1276.19	1277.20	2145	2145	4
2017.11.02	11:00:00	1277.20	1277.30	1275.81	1276.41	3745	3745	4
2017.11.02	11:15:00	1276.41	1276.64	1276.01	1276.46	2619	2619	4
2017.11.02	11:30:00	1276.46	1276.66	1276.06	1276.46	2167	2167	4
2017.11.02	11:45:00	1276.46	1276.48	1275.42	1276.05	2743	2743	4
2017.11.02	12:00:00	1276.05	1276.83	1275.89	1276.47	2829	2829	4
2017.11.02	12:15:00	1276.48	1276.70	1276.25	1276.29	2028	2028	4
2017.11.02	12:30:00	1276.28	1276.39	1275.72	1275.76	2157	2157	4
2017.11.02	12:45:00	1275.76	1276.60	1275.68	1276.29	1737	1737	4
2017.11.02	13:00:00	1276.28	1276.28	1275.59	1275.84	2502	2502	4
2017.11.02	13:15:00	1275.82	1276.50	1275.81	1276.40	1966	1966	4
2017.11.02	13:30:00	1276.39	1276.49	1276.01	1276.29	1864	1864	4
2017.11.02	13:45:00	1276.28	1276.32	1275.48	1275.98	1328	1328	4
2017.11.02	14:00:00	1275.95	1276.60	1275.84	1276.51	1868	1868	4
