trade_id,entry_ts,exit_ts,year,direction,side,weekday,utc_hour,month,entry_price,exit_price,stop_price,entry_notional,entry_exposure_pct,initial_risk_pct,fast_minus_slow,normalized_ma_distance,fast_slope,slow_slope,atr_pct,recent_return_20,recent_range_20,recent_volatility_20,recent_cross_count,stop_distance_atr,stop_distance_pct,net_pnl,gross_pnl,return_on_equity_pct,mfe_r,mae_r,bars_held,reason,win_loss,label,label_role
tr_d58d19689065,2017-11-03T11:00:00+00:00,2017-11-03T12:00:00+00:00,2017,long,long,4,11,11,1275.99,1275.1,1271.2812,3827.97,76.5594,0.2825,0.493333,0.00038666,0.92,0.116667,0.00111837,-0.00117427,0.00329182,0.0004835,4,3.3,0.00369035,-2.94,-2.67,-0.0588,0.0191,-0.2548,2,reverse,0,0,poor
tr_411924d21051,2017-11-03T12:00:00+00:00,2017-11-03T13:00:00+00:00,2017,short,short,4,12,11,1275.1,1275.67,1279.7917,3825.3,76.551,0.2817,-0.433333,-0.00033982,-0.61,0.076667,0.00111491,-0.00133917,0.0032936,0.00048411,4,3.3,0.00367949,-1.98,-1.71,-0.0396,0.0362,-0.1471,2,reverse,0,0,poor
tr_b831b623cd8c,2017-11-03T13:00:00+00:00,2017-11-03T13:30:00+00:00,2017,long,long,4,13,11,1275.67,1275.27,1271.0779,3827.01,76.6156,0.2758,0.213333,0.00016725,0.27,-0.08,0.00109092,-0.0022137,0.00329265,0.00045029,4,3.3,0.00359974,-1.47,-1.2,-0.0294,0.0414,-0.2744,1,reverse,0,0,poor
tr_beb03a79eb0f,2017-11-03T13:30:00+00:00,2017-11-03T14:30:00+00:00,2017,short,short,4,13,11,1275.27,1270.7912,1270.6913,3825.81,76.6141,0.2751,-0.043333,-3.398e-05,-0.2,0.056667,0.00108792,-0.00210475,0.00341077,0.00044772,4,3.3,0.00359042,13.17,13.44,0.2637,0.38,-0.083,2,stop,1,1,worthwhile
tr_c0fa47405488,2017-11-03T15:00:00+00:00,2017-11-03T16:00:00+00:00,2017,long,long,4,15,11,1275.98,1280.5958,1280.6958,3827.94,76.4551,0.2826,1.17,0.00091701,1.46,0.17,0.00112004,-0.00067359,0.0033232,0.0005261,4,3.3,0.00369585,13.58,13.85,0.2712,0.9903,-0.1187,2,stop,1,1,worthwhile
tr_c267e3c53161,2017-11-03T16:00:00+00:00,2017-11-03T16:30:00+00:00,2017,long,long,4,16,11,1278.01,1277.02,1272.942,3834.03,76.3696,0.3028,1.093333,0.00085556,1.25,1.163333,0.00120178,0.00076747,0.0055716,0.00058354,4,3.3,0.00396557,-3.24,-2.97,-0.0645,0.1184,-0.3078,1,reverse,0,0,poor
tr_57ab1c6d682d,2017-11-03T16:30:00+00:00,2017-11-03T17:30:00+00:00,2017,short,short,4,16,11,1277.02,1271.979,1271.879,3831.06,76.3597,0.3074,-0.11,-8.613e-05,-0.79,0.413333,0.00121984,0.00030547,0.00557504,0.00059866,4,3.3,0.00402579,14.86,15.12,0.2961,2.1922,-0.0195,2,stop,1,1,worthwhile
tr_d9a0bbedb1be,2017-11-03T18:30:00+00:00,2017-11-03T19:00:00+00:00,2017,long,long,4,18,11,1268.77,1267.65,1263.1568,3806.31,75.6424,0.3346,1.246667,0.00098266,1.56,-2.096667,0.00134074,-0.00655422,0.01194952,0.00166352,3,3.3,0.00442411,-3.63,-3.36,-0.0721,0.0,-0.2548,1,reverse,0,0,poor
tr_c8c8a988a45a,2017-11-03T19:00:00+00:00,2017-11-03T19:30:00+00:00,2017,short,short,4,19,11,1267.65,1268.61,1273.267,3802.95,75.6302,0.3351,-0.093333,-7.362e-05,-0.92,0.42,0.00134263,-0.00705693,0.01195819,0.00167069,2,3.3,0.00443102,-3.15,-2.88,-0.0626,0.0214,-0.162,1,reverse,0,0,poor
tr_be9c1dc6ec21,2017-11-03T19:30:00+00:00,2017-11-03T20:30:00+00:00,2017,long,long,4,19,11,1268.61,1268.21,1263.0241,3805.83,75.7349,0.3335,0.2,0.00015767,0.76,0.466667,0.00133439,-0.00551139,0.01195103,0.00166238,2,3.3,0.00440315,-1.47,-1.2,-0.0292,0.1235,-0.154,2,reverse,0,0,poor
